="Advanced Regression Results"

="",="(1)",="(2)",="(3)",="(4)"
="",="Basic",="With Periods",="Interactions",="Non-linear"

="std_trade_gdp",="1.130",="1.130",="11.75",="-0.989"
="",="(0.59)",="(0.59)",="(1.60)",="(-0.20)"

="std_investment",="-0.395",="-0.395",="-7.426",="-0.194"
="",="(-0.26)",="(-0.26)",="(-1.68)",="(-0.13)"

="std_inflation",="-0.875",="-0.875",="-0.385",="-1.638"
="",="(-1.20)",="(-1.20)",="(-0.61)",="(-1.47)"

="std_govt_exp",="-0.787**",="-0.787**",="-0.983*",="-0.750*"
="",="(-2.45)",="(-2.45)",="(-2.11)",="(-1.97)"

="std_tertiary_educ",="1.537",="1.537",="15.28",="1.225"
="",="(0.62)",="(0.62)",="(1.84)",="(0.49)"

="0.period2",="",="0",="0",="0"
="",="",="(.)",="(.)",="(.)"

="1.period3",="",="0",="0",="0"
="",="",="(.)",="(.)",="(.)"

="c.std_trade_gdp#c.std_investment",="",="",="5.430*",=""
="",="",="",="(1.93)",=""

="std_trade_gdp",="",="",="0",=""
="",="",="",="(.)",=""

="c.std_trade_gdp#c.std_tertiary_educ",="",="",="-10.88",=""
="",="",="",="(-1.68)",=""

="c.std_trade_gdp#c.std_trade_gdp",="",="",="",="0.940"
="",="",="",="",="(0.54)"

="_cons",="-3.417",="-3.417",="-16.07*",="-2.653"
="",="(-1.65)",="(-1.65)",="(-1.99)",="(-0.88)"

="N",="15",="15",="15",="15"
="r2_a",="0.211",="0.211",="0.293",="0.131"
="F",="2.886",="2.886",="12.84",="5.125"
="p",="0.0795",="0.0795",="0.00163",="0.0190"
="ll",="-17.05",="-17.05",="-14.35",="-16.89"
="aic",="46.10",="46.10",="44.69",="47.79"
="bic",="50.35",="50.35",="50.36",="52.74"

="* p<0.10, ** p<0.05, *** p<0.01"
="All variables are standardized"
="* p<0.10, ** p<0.05, *** p<0.01"
