="Comparative Model Results"
="",="(1)",="(2)",="(3)"
="",="d_gdp_growth",="gdp_growth",="gdp_growth"
="",="b/se",="b/se",="b/se"
="L.gdp_growth",="-1.132",="",=""
="",="(.)",="",=""
="L.trade_gdp",="0.180",="",=""
="",="(.)",="",=""
="trade_gdp",="",="0.000",="0.369"
="",="",="(.)",="(0.503)"
="L.investment",="-0.716",="",=""
="",="(.)",="",=""
="investment",="",="0.000",="-0.673"
="",="",="(.)",="(1.438)"
="d_trade_gdp",="0.044",="",=""
="",="(.)",="",=""
="d_investment",="0.970",="",=""
="",="(.)",="",=""
="year_dummy1",="0.000",="",=""
="",="(.)",="",=""
="year_dummy2",="0.000",="",=""
="",="(.)",="",=""
="year_dummy3",="0.100",="",=""
="",="(.)",="",=""
="year_dummy4",="3.857",="",=""
="",="(.)",="",=""
="year_dummy5",="0.000",="",=""
="",="(.)",="",=""
="year_dummy6",="-2.739",="",=""
="",="(.)",="",=""
="year_dummy7",="7.405",="",=""
="",="(.)",="",=""
="year_dummy8",="1.799",="",=""
="",="(.)",="",=""
="year_dummy9",="3.523",="",=""
="",="(.)",="",=""
="year_dummy10",="2.246",="",=""
="",="(.)",="",=""
="year_dummy11",="2.204",="",=""
="",="(.)",="",=""
="year_dummy12",="2.942",="",=""
="",="(.)",="",=""
="year_dummy13",="5.038",="",=""
="",="(.)",="",=""
="year_dummy14",="2.634",="",=""
="",="(.)",="",=""
="year_dummy15",="5.255",="",=""
="",="(.)",="",=""
="year_dummy16",="5.121",="",=""
="",="(.)",="",=""
="year_dummy17",="7.509",="",=""
="",="(.)",="",=""
="year_dummy18",="3.734",="",=""
="",="(.)",="",=""
="year_dummy19",="0.742",="",=""
="",="(.)",="",=""
="year_dummy20",="-4.549",="",=""
="",="(.)",="",=""
="year_dummy21",="0.000",="",=""
="",="(.)",="",=""
="year_dummy22",="-0.933",="",=""
="",="(.)",="",=""
="year_dummy23",="2.274",="",=""
="",="(.)",="",=""
="year_dummy24",="5.588",="",=""
="",="(.)",="",=""
="year_dummy25",="5.979",="",=""
="",="(.)",="",=""
="year_dummy26",="0.489",="",=""
="",="(.)",="",=""
="year_dummy27",="0.000",="",=""
="",="(.)",="",=""
="year_dummy28",="10.806",="",=""
="",="(.)",="",=""
