="Regression Results"

="",="(1)",="(2)",="(3)"
="",="Model 1",="Model 2",="Model 3"

="trade_gdp",="0.236",="1.418",="1.229"
="",="(0.55)",="(0.52)",="(0.40)"

="investment",="-0.363",="-15.93",="-14.52"
="",="(-0.28)",="(-1.76)",="(-1.25)"

="inflation",="-0.119",="-0.0525",="-0.156"
="",="(-0.91)",="(-0.30)",="(-0.31)"

="govt_exp",="-1.695*",="-2.118**",="-2.110*"
="",="(-2.12)",="(-2.56)",="(-2.37)"

="tertiary_educ",="24.87",="567.7",="622.9"
="",="(0.64)",="(1.61)",="(1.38)"

="trade_inv_int",="",="0.265",="0.239"
="",="",="(1.74)",="(1.18)"

="trade_educ_int",="",="-9.353",="-10.48"
="",="",="(-1.55)",="(-1.27)"

="trade_gdp_sq",="",="",="0.0183"
="",="",="",="(0.22)"

="_cons",="22.62",="-30.66",="-67.20"
="",="(0.67)",="(-0.23)",="(-0.31)"

="N",="15",="15",="15"
="r2_a",="0.211",="0.293",="0.181"
="F",="1.747",="1.827",="1.388"
="p",="0.220",="0.222",="0.355"

="* p<0.10, ** p<0.05, *** p<0.01"
="* p<0.10, ** p<0.05, *** p<0.01"
