="Summary Statistics by Period"
="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="count",="mean",="sd",="min",="max"
="0",="",="",="",="",=""
="gdp_growth",="43",="4.62",="4.27",="-5.75",="11.44"
="trade_gdp",="43",="44.67",="12.98",="17.09",="81.17"
="investment",="43",="28.23",="2.68",="23.49",="32.97"
="inflation",="43",="39.39",="30.25",="6.25",="105.21"
="govt_exp",="15",="24.57",="1.82",="22.11",="28.14"
="tertiary_educ",="40",="0.71",="0.18",="0.35",="1.04"
="Pre-liberalization",="",="",="",="",=""
="gdp_growth",="19",="5.15",="3.10",="-0.62",="11.21"
="trade_gdp",="20",="11.83",="3.09",="5.73",="17.00"
="investment",="20",="21.12",="2.70",="16.95",="25.64"
="inflation",="20",="16.42",="17.44",="1.12",="63.54"
="govt_exp",="0",=".",=".",=".",="."
="tertiary_educ",="9",="0.25",="0.04",="0.20",="0.33"
="Total",="",="",="",="",=""
="gdp_growth",="62",="4.78",="3.93",="-5.75",="11.44"
="trade_gdp",="63",="34.24",="18.83",="5.73",="81.17"
="investment",="63",="25.97",="4.27",="16.95",="32.97"
="inflation",="63",="32.10",="28.79",="1.12",="105.21"
="govt_exp",="15",="24.57",="1.82",="22.11",="28.14"
="tertiary_educ",="49",="0.63",="0.24",="0.20",="1.04"
